Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2016,1,1,0,30,0,0,0,-4,-2,980,259,5.5,0.87
2016,1,1,1,30,0,0,0,-4,-2,980,259,5.5,0.87
2016,1,1,2,30,0,0,0,-4,-2,980,260,5.5,0.87
2016,1,1,3,30,0,0,0,-5,-2,980,260,5.5,0.87
2016,1,1,4,30,0,0,0,-5,-3,980,259,5.6000000000000005,0.87
2016,1,1,5,30,0,0,0,-5,-3,980,256,5.9,0.87
2016,1,1,6,30,0,0,0,-6,-3,980,254,6.300000000000001,0.87
2016,1,1,7,30,0,0,0,-6,-3,980,254,6.6000000000000005,0.87
2016,1,1,8,30,0,16,16,-6,-2,980,257,7.2,0.87
2016,1,1,9,30,0,62,62,-7,-2,980,261,7.9,0.87
2016,1,1,10,30,0,103,103,-7,-2,980,264,8.1,0.87
2016,1,1,11,30,0,113,113,-7,-2,980,267,8.1,0.87
2016,1,1,12,30,0,118,118,-7,-2,980,268,8,0.87
2016,1,1,13,30,0,113,113,-7,-2,980,268,7.6000000000000005,0.87
2016,1,1,14,30,0,88,88,-7,-2,980,268,7.2,0.87
2016,1,1,15,30,0,52,52,-7,-2,980,269,6.7,0.87
2016,1,1,16,30,0,12,12,-7,-3,980,271,6.1000000000000005,0.87
2016,1,1,17,30,0,0,0,-7,-3,980,272,5.7,0.87
2016,1,1,18,30,0,0,0,-7,-3,980,274,5.7,0.87
2016,1,1,19,30,0,0,0,-7,-3,980,276,5.7,0.87
2016,1,1,20,30,0,0,0,-7,-3,980,275,5.6000000000000005,0.87
2016,1,1,21,30,0,0,0,-7,-3,980,272,5.300000000000001,0.87
2016,1,1,22,30,0,0,0,-7,-3,980,266,5,0.87
2016,1,1,23,30,0,0,0,-6,-3,980,260,4.9,0.87
2016,1,2,0,30,0,0,0,-6,-3,980,253,5.2,0.87
2016,1,2,1,30,0,0,0,-5,-3,980,248,5.4,0.87
2016,1,2,2,30,0,0,0,-5,-3,980,245,5.4,0.87
2016,1,2,3,30,0,0,0,-5,-3,980,244,5.300000000000001,0.87
2016,1,2,4,30,0,0,0,-5,-2,980,242,5.1000000000000005,0.87
2016,1,2,5,30,0,0,0,-5,-2,980,238,4.800000000000001,0.87
2016,1,2,6,30,0,0,0,-4,-2,980,238,4.6000000000000005,0.87
2016,1,2,7,30,0,0,0,-4,-2,980,242,4.6000000000000005,0.87
2016,1,2,8,30,0,8,8,-4,-1,980,246,5.1000000000000005,0.87
2016,1,2,9,30,0,35,35,-4,-1,980,253,5.800000000000001,0.87
2016,1,2,10,30,0,59,59,-4,0,980,258,6,0.87
2016,1,2,11,30,0,75,75,-5,0,980,258,6,0.87
2016,1,2,12,30,0,99,99,-5,0,980,257,5.9,0.87
2016,1,2,13,30,20,146,154,-4,0,980,254,5.9,0.87
2016,1,2,14,30,12,118,122,-4,0,980,249,5.7,0.87
2016,1,2,15,30,596,62,187,-4,0,980,242,5.1000000000000005,0.87
2016,1,2,16,30,283,27,46,-4,0,980,233,4.7,0.87
2016,1,2,17,30,0,0,0,-4,-1,980,226,5,0.87
2016,1,2,18,30,0,0,0,-3,-1,980,224,5.6000000000000005,0.87
2016,1,2,19,30,0,0,0,-3,-1,980,222,6,0.87
2016,1,2,20,30,0,0,0,-3,-1,980,223,6.300000000000001,0.87
2016,1,2,21,30,0,0,0,-3,-2,970,226,6.4,0.87
2016,1,2,22,30,0,0,0,-3,-2,970,233,6.4,0.87
2016,1,2,23,30,0,0,0,-2,-2,970,240,6.5,0.87
